text,sentiment_label,sentiment_score,binary_label
rate cut projections went significantly fomc per fed watchtool markets reacting appropriately uncertainty volatile erratic due low liquidity big money staying sidelined btc crypto altcoins,NEGATIVE,0.9977994561195374,0
chill like suntron let success roll like wavesyour time shine suntron trx tron troncommunity trx suntron tronmemeseason memecoins crypto tron,POSITIVE,0.8690574169158936,1
shats isnt slowing token burns rolling meowarena approaching community stronger ever memecoins cat revolution shatsroadtobillion cryptonews cryptocurrency crypto elonmusk,NEGATIVE,0.9736372232437134,0
coinbase make crypto history deribit acquisition sec roundtable takeaways watch crypto cryptonews sec coinbase tokenization bitcoin altcoins xrp ripple solana ethereum thinkingcrypto,NEGATIVE,0.9967079162597656,0
storm break earth shake laugh us today regret tomorrow lunc link uxlink ada tether lunc floki gala theta borsa zeta x nikke bist luna ustc bnb dollar coin crypto,POSITIVE,0.6726392507553101,1
satsusdt entry target target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal sats sats qatar uae dubai kuwait,NEGATIVE,0.9924740195274353,0
people going going crazy rezor crypto bullrun happens,NEGATIVE,0.9994840621948242,0
yo im firethe crypto worlds buzzing even hyping im ready dominatejoin excitement fam lets make ai revolution epic nimoai crypto,POSITIVE,0.921761155128479,1
im gon na turn entire crypto community macro fundamental experts along ta experts slowly surly begin understand seeing years well connected youre seeing slowly surely play proven correct show way lots work today step direction need go altcoins btc,POSITIVE,0.971726655960083,1
ace crypto pinetwork eth altcoin trading signal xau investing gold copytrading join free telegram community,NEGATIVE,0.9782227277755737,0
joined revolution yet monad testnet crypto blockchain web futureofblockchain ethereum,NEGATIVE,0.9914892911911011,0
idusdt entry target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal id id qatar uae dubai kuwait,NEGATIVE,0.9924443364143372,0
aergousdt entry target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal aergo aergo qatar uae dubai kuwait,NEGATIVE,0.9945987462997437,0
also youre looking best hyper liquid exchange requires kyc best ui available countries sign bitunix trade lower fees altcoins trader scalping crypto btc,NEGATIVE,0.9944979548454285,0
achusdt entry target target target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal alch alch qatar uae dubai kuwait,NEGATIVE,0.9893311262130737,0
global finance shifting xrp center join movement ripple rlusd sec eth sui crypto avax xrpholders trx,NEGATIVE,0.9499253034591675,0
end nuked live meme coin apocalypse roadmap utility vibes nuke supply degen til die launch website nukedcoincom twitter nuked memecoin crypto ww,NEGATIVE,0.9978315234184265,0
kaitousdt entry target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal kaito kaito qatar uae dubai kuwait,NEGATIVE,0.9910176992416382,0
nobodys manipulating bitcoin day today crypto,NEGATIVE,0.9970422387123108,0
giveaway ama crypto bnb,NEGATIVE,0.9709334969520569,0
zrousdt entry target target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal zro zro qatar uae dubai kuwait,NEGATIVE,0.9904787540435791,0
rustys tinkering garage aint quiet nothing something greasy coming gearheadcoin pe solana crypto,NEGATIVE,0.9948857426643372,0
wifusdt entry target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal wif wif qatar uae dubai kuwait,NEGATIVE,0.994779109954834,0
signs rezor crypto x altcoins,NEGATIVE,0.9990026354789734,0
crypto cardano talos talos outperformed pretty much everything daily let cook getting started,NEGATIVE,0.993813157081604,0
vanausdt entry target target target target bitcoin crypto btc eth altcoin trading signal copytrading cryptosignal vana vana qatar uae dubai kuwait,NEGATIVE,0.9871498346328735,0
air park smells like soil grass freedom sign crypto web signprotocol,NEGATIVE,0.9919041991233826,0
expanding bws community hope support us buying bws means holding future trends better please believe us caxcbaaadbafaccc okx binancewallet gateweb coingecko coinmarketcap bws crypto bsc,NEGATIVE,0.9073632955551147,0
